package_pattern,category,vendor,role,description
nginx,web_server,NGINX Inc,web,Nginx web server
nginx-common,web_server,NGINX Inc,web,Nginx common files
apache2,web_server,Apache,web,Apache HTTP Server
httpd,web_server,Apache,web,Apache HTTP Server (RHEL)
lighttpd,web_server,Lighttpd,web,Lighttpd web server
caddy,web_server,Caddy,web,Caddy web server
haproxy,web_server,HAProxy,load_balancer,HAProxy load balancer
traefik,web_server,Traefik Labs,load_balancer,Traefik reverse proxy
varnish,web_server,Varnish,cache,Varnish HTTP accelerator
mysql-server,database,Oracle,database,MySQL server
mariadb-server,database,MariaDB,database,MariaDB server
postgresql,database,PostgreSQL,database,PostgreSQL database
mongodb-org,database,MongoDB,database,MongoDB database
redis-server,database,Redis,cache,Redis server
memcached,database,Memcached,cache,Memcached cache
elasticsearch,search,Elastic,search,Elasticsearch
opensearch,search,OpenSearch,search,OpenSearch
docker-ce,container,Docker,container,Docker CE runtime
docker.io,container,Docker,container,Docker runtime (Debian)
containerd,container,CNCF,container,containerd runtime
podman,container,Red Hat,container,Podman container runtime
kubeadm,container,CNCF,kubernetes,Kubernetes admin tool
kubectl,container,CNCF,kubernetes,Kubernetes CLI
kubelet,container,CNCF,kubernetes,Kubernetes node agent
openssh-server,remote_access,OpenSSH,infrastructure,SSH server
vsftpd,remote_access,vsftpd,file_server,vsftpd FTP server
proftpd,remote_access,ProFTPD,file_server,ProFTPD FTP server
falcon-sensor,security,CrowdStrike,security,CrowdStrike Falcon sensor
mdatp,security,Microsoft,security,Microsoft Defender for Endpoint
cbagent,security,Carbon Black,security,Carbon Black agent
sentinelone,security,SentinelOne,security,SentinelOne agent
sophos-av,security,Sophos,security,Sophos Antivirus
clamav,security,ClamAV,security,ClamAV antivirus
clamav-daemon,security,ClamAV,security,ClamAV daemon
wazuh-agent,security,Wazuh,security,Wazuh agent
wazuh-manager,security,Wazuh,security,Wazuh manager
ossec-hids,security,OSSEC,security,OSSEC HIDS
fail2ban,security,Fail2ban,security,Fail2ban IPS
suricata,security,Suricata,security,Suricata IDS/IPS
snort,security,Snort,security,Snort IDS
auditd,security,Linux,security,Linux audit daemon
tripwire,security,Tripwire,security,Tripwire integrity checker
aide,security,AIDE,security,AIDE integrity checker
rkhunter,security,Rootkit Hunter,security,Rootkit Hunter
vault,security,HashiCorp,security,HashiCorp Vault
postfix,mail,Postfix,mail,Postfix MTA
sendmail,mail,Sendmail,mail,Sendmail MTA
exim4,mail,Exim,mail,Exim MTA
dovecot-core,mail,Dovecot,mail,Dovecot IMAP/POP3
bind9,network,ISC,dns,BIND9 DNS server
unbound,network,NLnet Labs,dns,Unbound DNS resolver
dnsmasq,network,Dnsmasq,dns,Dnsmasq DNS/DHCP
isc-dhcp-server,network,ISC,dhcp,ISC DHCP server
squid,network,Squid,proxy,Squid proxy
openvpn,network,OpenVPN,vpn,OpenVPN
wireguard-tools,network,WireGuard,vpn,WireGuard VPN tools
strongswan,network,strongSwan,vpn,strongSwan IPsec VPN
samba,file_server,Samba,file_server,Samba SMB server
nfs-kernel-server,file_server,Linux,file_server,NFS server
nfs-utils,file_server,Linux,file_server,NFS utilities (RHEL)
slapd,directory,OpenLDAP,directory,OpenLDAP server
sssd,directory,SSSD,directory,SSSD authentication
freeradius,directory,FreeRADIUS,directory,FreeRADIUS server
rabbitmq-server,messaging,RabbitMQ,messaging,RabbitMQ broker
kafka,messaging,Apache,messaging,Apache Kafka
mosquitto,messaging,Eclipse,messaging,Mosquitto MQTT broker
filebeat,logging,Elastic,logging,Filebeat log shipper
logstash,logging,Elastic,logging,Logstash pipeline
fluentd,logging,Fluentd,logging,Fluentd collector
fluent-bit,logging,Fluent Bit,logging,Fluent Bit processor
splunkforwarder,logging,Splunk,logging,Splunk Universal Forwarder
prometheus,monitoring,Prometheus,monitoring,Prometheus metrics
grafana,monitoring,Grafana,monitoring,Grafana dashboard
zabbix-agent,monitoring,Zabbix,monitoring,Zabbix agent
zabbix-server,monitoring,Zabbix,monitoring,Zabbix server
telegraf,monitoring,InfluxData,monitoring,Telegraf metrics collector
nagios,monitoring,Nagios,monitoring,Nagios monitoring
jenkins,ci_cd,Jenkins,ci_cd,Jenkins automation
gitlab-runner,ci_cd,GitLab,ci_cd,GitLab CI runner
ansible,automation,Red Hat,automation,Ansible automation
puppet-agent,automation,Puppet,automation,Puppet agent
chef-client,automation,Chef,automation,Chef client
salt-minion,automation,SaltStack,automation,Salt minion
tomcat9,application,Apache,application,Apache Tomcat 9
tomcat10,application,Apache,application,Apache Tomcat 10
php-fpm,application,PHP,application,PHP FastCGI Process Manager
python3,runtime,Python,infrastructure,Python 3 runtime
nodejs,runtime,Node.js,infrastructure,Node.js runtime
openjdk,runtime,OpenJDK,infrastructure,OpenJDK Java runtime
golang,runtime,Go,infrastructure,Go runtime
